1	588.0733120141	644.7454327298	601.510373785	519.6928728687
2	595.3024353236	662.4275720512	739.0559552061	582.2257534907
3	702.5917702287	669.3167981595	550.3667005482	735.1521764619
4	420.1074172326	658.5571174336	473.9586739275	486.9052609721
5	651.0544239954	603.4999686166	610.0954551393	625.2548065825
6	770.352965853	510.0775949747	613.0459808874	763.1534837581
7	775.6053051959	653.6251202625	623.7518666985	523.0420185788
8	637.3330450134	650.9435776944	444.1591090289	585.7086928431
9	523.5896292935	594.7835287425	625.712601499	759.8247998528
10	527.5667056466	573.7017174221	721.6435193705	648.778528746
11	563.3512758317	654.5493607424	433.5246836983	501.2562161299
12	564.3797977747	737.256094034	542.9967872091	605.8636905842
13	680.8164177666	620.4732937494	702.3636068018	549.9680695958
14	515.5160606828	476.8375655298	531.3724278761	721.8883828652
15	586.0022006786	610.1724642191	626.3966939663	389.5833027785
16	855.8631061959	545.3699960688	577.4033225543	584.9421495572
17	681.7100060271	573.308123208	560.0645077306	635.5843034004
18	519.5316751605	590.9016125897	726.0237832713	688.0678337871
19	861.6613413599	486.5515319386	527.9549388404	576.1519020309
20	649.5504949406	495.8131275719	647.5627470753	319.8647194347
21	604.50455989	617.2042798293	709.8234255941	611.3494810974
22	661.4020964184	729.5998556222	540.8290763401	599.9516706688
23	522.5821032126	655.0362812362	667.8931832069	838.1265410556
24	581.847680162	560.4183078389	692.9432159875	559.6206469992
25	709.5686727202	625.3704010802	499.7649025385	600.8377541441
26	626.1086640983	729.8807373953	507.2721224194	635.8279670941
27	551.8778294454	572.322788464	667.3172756395	481.1612648404
28	663.1271689407	566.5442136553	574.2956691378	655.282291677
29	657.0909571433	670.3682451778	566.1607019243	570.3672878757
30	426.6166351743	528.4654696158	694.4716944088	556.6523979711
31	390.4639950791	758.7711070379	658.2579028757	645.9886477616
32	543.3067886718	689.8640843583	702.0423701009	693.1691466497
33	534.4266763997	577.5561559465	561.9499224438	453.1680713787
34	578.0728051714	676.3911659412	520.8680191075	579.377599408
35	657.8349113282	582.7501459618	613.3239948181	566.4652058295
36	666.5951688689	479.1772881721	519.5332755056	563.9538790222
37	409.5576231078	778.6056091957	536.6495447397	608.7068567594
38	519.3937732119	657.0915526447	639.5968902555	549.5320524508
39	554.7412979161	553.0061755309	630.6913932936	587.4354502513
40	515.5531299576	554.7993953557	666.2762909813	599.232886591
41	614.9745894515	451.0429110111	434.2006215992	652.5254602226
